10000 304
20000 466
30000 700
40000 1101
50000 1511
60000 1725
70000 2018
80000 2295
90000 2550
100000 2886
110000 3576
120000 3999
130000 3764
140000 4097
150000 4291
160000 4603
170000 4998
180000 5126
190000 5874
200000 6146
210000 6813
220000 6355
230000 6760
240000 6910
250000 7136
260000 7534
270000 7725
280000 8573
290000 8400
300000 8482
310000 9104
320000 9069
330000 9527
340000 9735
350000 9913
360000 10279
370000 11005
380000 11292
390000 14392
400000 11584
410000 13883
420000 12962
430000 12912
440000 13104
450000 13155
460000 13405
470000 13481
480000 13741
490000 14589
500000 14122
510000 14469
520000 14710
530000 14897
540000 15112
550000 15678
560000 15766
570000 16066
580000 16391
590000 16659
600000 16865
610000 17163
620000 17451
630000 17768
640000 19019
650000 19095
660000 18941
670000 19964
680000 18806
690000 19178
700000 19080
710000 19811
720000 20563
730000 21629
740000 21452
750000 20868
760000 21050
770000 22364
780000 22092
790000 21975
800000 22483
810000 23052
820000 23796
830000 23257
840000 23117
850000 23761
860000 23994
870000 23384
880000 23238
890000 23911
900000 24023
910000 26015
920000 24526
930000 25249
940000 25178
950000 26375
960000 26128
970000 26089
980000 26484
990000 27423
1000000 27677
