10000 429
20000 762
30000 1181
40000 1666
50000 2203
60000 2732
70000 3200
80000 3684
90000 4106
100000 4694
110000 5042
120000 5583
130000 6746
140000 7134
150000 8110
160000 8182
170000 8829
180000 9286
190000 9589
200000 10185
210000 10790
220000 11196
230000 11581
240000 12044
250000 12528
260000 13048
270000 13510
280000 13965
290000 14489
300000 15084
310000 15765
320000 16245
330000 16638
340000 17167
350000 18933
360000 18802
370000 19145
380000 19681
390000 20364
400000 18707
410000 19306
420000 20902
430000 21761
440000 24867
450000 23876
460000 22363
470000 26897
480000 25974
490000 27511
500000 27175
510000 28159
520000 26836
530000 27116
540000 28342
550000 28297
560000 28584
570000 29301
580000 29322
590000 31159
600000 36449
610000 32943
620000 32142
630000 33259
640000 33965
650000 35020
660000 36474
670000 37434
680000 37410
690000 39144
700000 37197
710000 39847
720000 41321
730000 42087
740000 40811
750000 43328
760000 42935
770000 44159
780000 44403
790000 45149
800000 45255
810000 48015
820000 46662
830000 50258
840000 48248
850000 43313
860000 43774
870000 43148
880000 43876
890000 44079
900000 45498
910000 43420
920000 45956
930000 45050
940000 48599
950000 46804
960000 47106
970000 49637
980000 49094
990000 48902
1000000 49437
